#TYPE Selected.System.String
"Locale"|"Checksum"|"Checksum64"|"URL32"|"URL64"
"de"|"012FE97C3C27A82B0B025ED04C1B85943BB25D5F91B332A032118F3F97F3DEF7"|"0648C0AF0A0F98FE7272735A0A32760C33C0B5D35238A3B2C4B5B42667AFEC28"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_de.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_de.exe"
"es-AR"|"A2B8913AC3F1765E3F9929EEEE6E426B70B45B891E2302004675D153351586A6"|"8DEEB35E781157B43209C9D3F97AE00989246F8A6BA8A71F88DDBDB0178FD5F9"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_es-AR.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_es-AR.exe"
"lt"|"E6ACADCE49186D9AC5114BAA5C3AE431BFFB3FB5EB5A684D26B105DB968A9C5C"|"2821E2DEC22DA5E84461138E221DA90B8D3BAA86839B03B3FB8B875349696C5B"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_lt.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_lt.exe"
"ru"|"E485832AEED29E3E936DD90E38990BC4FEAC20D324526453EFBDF4F6432D51EB"|"DFF9DCEDBEE0E5BC92930DC9F99DCEED1CF00080597C7F96039CC4F7A72D3D65"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ru.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ru.exe"
"ro"|"6C18CE6B32A767B7A22D8FB8006BFEF5284AB9BF4537B3022F6BEA30B3219591"|"18E5A3B13EA8AEAEE18421D612EEC0DF521149C4248B85FF55ABE98FCD4062C6"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ro.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ro.exe"
"mk"|"FE371384BD63C6A1F79BC05BADB0BC6529171F1516459145BDDD17A0032DA057"|"DB7523A68C1396E766EF0CD960963A51D7129FA83E65197FFEF8ABC630423E28"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_mk.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_mk.exe"
"he"|"95224EBD67FB3C1F1A7D712AE7B6E17AD50EFF983AB16504EC311F551C0F26CA"|"4F726A23FA4A9050732564FBCAE02AB82542EF46A6DFE4C59A735F44E4B28583"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_he.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_he.exe"
"nb-NO"|"4824D07E3705AE762E4B125F040873A88E6C2D2A0215FB183072802D328DAEC7"|"A0E8AAFD1EA3B9EAC0456CEFF8E2FEAE2591914DA249AEDB242BF737737D17E8"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_nb-NO.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_nb-NO.exe"
"en-US"|"29F6FEC8FFB6CDFEED42ED4E41F54545C8CD4FE6E54A8D75AE73E2E74645EDFD"|"5B12653332DA6444104FF14716CDF3D8326F9134FC11BE591B344EF390D5925C"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_en-US.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_en-US.exe"
"ja"|"4E6785F771B359B4379A8CB12B2EADBB6AF400693ACB7CE187A8DD3281A04049"|"E804F11102CCB6E5870216D6D48D08353E7EBF7CFAF54D3574AFDAEDCE445FB9"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ja.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ja.exe"
"id"|"5E0461124A2B63A6D70B9A6825E39E3925607FD0B21BDDFB0C838200B25CB294"|"660CBBBCD83654C19BBD5861C682ED42DAE44C92F84E8A8C80C244B5901A96F2"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_id.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_id.exe"
"hu"|"E9B7FB4AC7DD4A94447450BD481616A8D1ED107CA907CC830739A3B97D08DDCF"|"F34682190DF1A3419BBADA153645FA3F7D58E6EE0030852B7A81481C70889C13"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_hu.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_hu.exe"
"ms"|"05B03FCEBCF0E8EB4ADBAB5BCAF7CAAE0AB728CF569BA2289611CA1B4FB130C6"|"5AD3D833D2CEC12F16A20F35EB9FCB1436C18997A66326441737B3641E2F9D31"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ms.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ms.exe"
"ca"|"7645F751592D4EB0DF7F091BDD3EF2C6017A0145B182915204E4720D410E77CC"|"C107F39B07FD6171937C325F3FAC562ED58E83FC72AE752DCD4FA157F7B2CD66"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ca.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ca.exe"
"fr"|"9C20D5F0F7FEA2A8BEABD8793ADD2A799DE2D236176F26449ECF17212EE41FE1"|"0BACEA0ED3FACDC769316218180BCCBA3A9152DE9FD49E9E8EB7ABCBEF5DE3BB"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_fr.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_fr.exe"
"ar"|"7E0F0C8B6F3082FA780D5000C1A0CFFC31640B6DE73E8567E9585AA822FE44E5"|"D10ADAB7E3650AC13D76A94E050EE9BCA73E58795A9066150FC19729D4106718"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ar.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ar.exe"
"da"|"1C30A4C561764FA96AFDE256D06534A954CE3231BBF966BF26D0A832EF231E7F"|"D4AB422B7778CDEDE80B6FDE7950D5130E72770492A700D8108B91BD280A775A"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_da.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_da.exe"
"th"|"AFCC6D50E5ACB8B3839654116247617FE42558A1895D26719DB3AC1924A15C57"|"7EFBDB6D3179F701FFE226BA836ABEF6CBCC43BD90E39CA160C36DD48BD33378"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_th.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_th.exe"
"ka"|"0834C2BC9E1A93867BA4A77F9EBA454A12AFAE3B0C9386000B1456D102BFA8D3"|"0A90E053ABB43ABAC7C6B5EB216DBE40725F7E7CDA4A96A6DBA3BF0118549081"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ka.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ka.exe"
"pl"|"FF910308F5C0699DB89E5053A7154646FF80A07BF745CA11DC94FC2CD0860C54"|"CCB22487662113EEA9BCF3E06C33D4D9CCD4D39A9815A4A5273FD9650B31E543"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_pl.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_pl.exe"
"is"|"E5FA72199400F352E59B85A80B29F778223852665E830592F89A7EB01302EAB9"|"84EBB0AC6658A588C65776EBC164F40E54C1C8DB0C86FE83BF7B9B130ECE739A"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_is.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_is.exe"
"tr"|"A2E339D25EF36CE59BA829CA702586105B7C122BE98F93A21BD71174CC8336DA"|"973DDB3C92D953F0E3AFE6EC35A9D50E680EC68E1D4054F56AA78C1F2BD6F889"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_tr.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_tr.exe"
"vi"|"F6C57DB3219EC3A59ACB970F66C25BE3004CD5B411C4A4FE6310FC45E9415064"|"E369781063F78B333E4814005CD1E615EA307FCCB8C06C14895F298F0E2AC804"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_vi.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_vi.exe"
"ga-IE"|"1A8A0EB12680B27EFEF5704A1B689C13BA266C9810FE9B5966BD2BF6C4B528B1"|"68B43ACE4F47D8E8A006A31FBD0B08461A2318E0A5382161278F9B5B02D2C0EE"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-10.0.12_ga-IE.exe"|"https://www.torproject.org/dist/torbrowser/10.0.12/torbrowser-install-win64-10.0.12_ga-IE.exe"
